Title,Company,Location,Salary,Source,Category
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
,,,N/A,LinkedIn,Backend Developer
Full Stack Django Developer,EvolveDash Inc.,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Backend Developer
Back-End/Infra Engineer (Kubernetes / Node.js),Deel,Pakistan,N/A,LinkedIn,Backend Developer
[Hiring] Junior Full-Stack Developer (AI & Automation focus),Eveonix,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Backend Developer
Bank Data Analyst,"Karachi Garments, Nawabshah, Pakistan","Karachi Garments,",N/A,Rozee,Data Analyst
Data Analyst,"Pakistan Revenue Automation (Pvt) Ltd, Lahore, Pakistan","Pakistan Revenue Automation (Pvt) Ltd,",N/A,Rozee,Data Analyst
Data Entry Research Analyst (Remote),"Naseeb Enterprise Inc, All Cities, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Data Analyst
Finance Data Research Analyst (Remote),"Naseeb Enterprise Inc, All Cities, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Data Analyst
Data Entry Research Analyst (Remote),"Naseeb Enterprise Inc, All Cities, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Data Analyst
Data Analyst,"Palmpay Pvt Ltd, Lahore, Pakistan","Palmpay Pvt Ltd,",N/A,Rozee,Data Analyst
General Office Work/Data Analyst,"Nancy International Pvt Ltd, Sialkot","Nancy International Pvt Ltd,",N/A,Rozee,Data Analyst
Market Data Analyst,"TU PLASTIC INDUSTRY PVT. LTD, Lahore, Pakistan","TU PLASTIC INDUSTRY PVT. LTD,",N/A,Rozee,Data Analyst
Data Analyst II,"Naseeb Enterprise Inc, Lahore, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Data Analyst
Loans Underwriting Analyst,"U Microfinance Bank, Multiple Cities, Pakistan","U Microfinance Bank,",N/A,Rozee,Data Analyst
Data Analyst II,"Naseeb Enterprise Inc, Lahore, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Data Analyst
Digital Analyst Lead,"Lahore University of Management Sciences,","Lahore University of Management Sciences,",N/A,Rozee,Data Analyst
Business Analyst,"Naseeb Enterprise Inc, All Cities, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Data Analyst
Data Analyst I,"Naseeb Enterprise Inc, Lahore, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Data Analyst
Data Analyst I,"Naseeb Enterprise Inc, Lahore, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Data Analyst
"System Analyst - SAP ABAP, HCM","Del Monte Fresh Produce, Islamabad, Pakistan","Del Monte Fresh Produce,",N/A,Rozee,Data Analyst
"Senior Analyst, IT Applications Oracle EBS","Del Monte Fresh Produce, All Cities, Pakistan","Del Monte Fresh Produce,",N/A,Rozee,Data Analyst
Business Analyst / Operations Coordinator (Odoo),"Future Brands Group, All Cities, Pakistan","Future Brands Group,",N/A,Rozee,Data Analyst
EDI Business Solution Analyst,"Del Monte Fresh Produce, All Cities, Pakistan","Del Monte Fresh Produce,",N/A,Rozee,Data Analyst
Data Analyst,Taraz Technologies Pvt. Ltd.,Rawalpindi,N/A,Indeed,Data Analyst
Data Analyst,CureMD Healthcare,Lahore,N/A,Indeed,Data Analyst
DATA ANALYST,Dignosco,Lahore,N/A,Indeed,Data Analyst
Data Analyst (Mobile Games),UserWise Services,Lahore,N/A,Indeed,Data Analyst
Business Analyst (Intern),Analytiverse,Lahore,N/A,Indeed,Data Analyst
Data Analyst,Metal,Lahore,N/A,Indeed,Data Analyst
Data Conversion Analyst,Contour Software,Lahore,N/A,Indeed,Data Analyst
Junior Data Analyst,Right Angle Consultant,Karachi,N/A,Indeed,Data Analyst
Data Analyst I,Careem,Lahore,N/A,Indeed,Data Analyst
Accounting Analyst - Remote,"World Business Lenders, LLC",Lahore,N/A,Indeed,Data Analyst
QC Analyst,Star Laboratories (Pvt.) Ltd.,Lahore,N/A,Indeed,Data Analyst
Business Analyst Specialist,Ace Union,Lahore,N/A,Indeed,Data Analyst
Data Analyst,Capgemini,Hyderabad,N/A,Indeed,Data Analyst
,,,N/A,Indeed,Data Analyst
Data Engineer,SOUM,Pakistan,N/A,Indeed,Data Analyst
Data Analytics Trainer,Fortray Global Services Ltd,Islamabad,N/A,Indeed,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
,,,N/A,LinkedIn,Data Analyst
Panel Administrator Specialist,IQVIA,"Karāchi, Sindh, Pakistan",N/A,LinkedIn,Data Analyst
Web Scraper,NielsenIQ,"Karāchi, Sindh, Pakistan",N/A,LinkedIn,Data Analyst
Technical Lead (100% Remote),Tether.io,Pakistan,N/A,LinkedIn,Data Analyst
Lead Data Scientist,"Naseeb Enterprise Inc, Islamabad, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Data Scientist
Data Scientist,"Naseeb Enterprise Inc, Hyderabad, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Data Scientist
Data Scientist,Capgemini,Hyderabad,N/A,Indeed,Data Scientist
Senior Data Scientist,SOUM,Pakistan,N/A,Indeed,Data Scientist
Expert Data Scientist,Datamatics Technologies,Islamabad,N/A,Indeed,Data Scientist
Data Scientist – Dynamic Pricing & Offer Optimization,TechBiz Global GmbH,Islamabad,N/A,Indeed,Data Scientist
Data scientist,Tata Consultancy Services,Hyderabad,N/A,Indeed,Data Scientist
Data Engineer,SOUM,Pakistan,N/A,Indeed,Data Scientist
"Staff/Senior Data Scientist - Python/R, SQL, EDA",10Pearls,Islamabad,N/A,Indeed,Data Scientist
Data Scientist (Quantitative research),Franklin Templeton Investments,Hyderabad,N/A,Indeed,Data Scientist
Customer Education Specialist Molecular Imaging and XP,Siemens Healthineers,Lahore,N/A,Indeed,Data Scientist
Data Scientist - Karachi Based (Retail Industry),Newly Launched,Karachi,N/A,Indeed,Data Scientist
Responsible AI Trainee,CureMD Healthcare,Lahore,N/A,Indeed,Data Scientist
Data Engineer,Aricrypta,Islamabad,N/A,Indeed,Data Scientist
Data Science & Engineering Lead,SOUM,Pakistan,N/A,Indeed,Data Scientist
,,,N/A,Indeed,Data Scientist
Senior - Data Scientist,NorthBay Solutions,Lahore,N/A,Indeed,Data Scientist
Sr. Data scientist,P99soft,Hyderabad,N/A,Indeed,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
,,,N/A,LinkedIn,Data Scientist
Expert Data Scientist,Bionic Talent,"Karāchi, Sindh, Pakistan",N/A,LinkedIn,Data Scientist
Data Engineer and AI Specialist,Sithafal Technologies,"Hyderabad, Sindh, Pakistan",N/A,LinkedIn,Data Scientist
Web Scraper,NielsenIQ,"Karāchi, Sindh, Pakistan",N/A,LinkedIn,Data Scientist
Artificial Intelligence & Machine Learning Engineer – AI-ML,ActiveKey Solutions,Lahore,N/A,Indeed,Artificial Intelligence
"AI Engineering Intern (Gen AI, Agents & Formal Verification) - Paid",Skylabs AI,Islamabad,N/A,Indeed,Artificial Intelligence
AI/ML Intern,FiveRivers Technologies,Lahore,N/A,Indeed,Artificial Intelligence
Artificial Intelligence Engineer,Darosoft,Karachi,N/A,Indeed,Artificial Intelligence
AI Engineer Intern,Cloud Z Technologies,Karachi Gulistan-E-Jouhar (Kp-2023),N/A,Indeed,Artificial Intelligence
AI Researcher,Cubitrek Private Limited,Karachi Gulshan-E-Iqbal,N/A,Indeed,Artificial Intelligence
Responsible AI Trainee,CureMD Healthcare,Lahore,N/A,Indeed,Artificial Intelligence
Junior Software Developer (Fresh Graduate – AI / ML),Aitomation,Lahore,N/A,Indeed,Artificial Intelligence
Artificial Intelligence Engineer,Impressico Business Solutions,Hyderabad,N/A,Indeed,Artificial Intelligence
React Native Developer (Remote),PanaceaLogics,Rawalpindi,N/A,Indeed,Artificial Intelligence
AI Engineer,Solvefy,Lahore Johar Town,N/A,Indeed,Artificial Intelligence
AI Expert,Al-Faisal Advertisers & Business promoters,Mardan,N/A,Indeed,Artificial Intelligence
Pahari-Potwari Linguistic Projects (Remote) - Sigma AI,Sigma Group,Rawalpindi,N/A,Indeed,Artificial Intelligence
,,,N/A,Indeed,Artificial Intelligence
AI/ML Intern_02,FiveRivers Technologies,Lahore,N/A,Indeed,Artificial Intelligence
Ai Cloud Trainer,Enablers,Lahore Johar Town,N/A,Indeed,Artificial Intelligence
AI/ML Engineer,Astro Sirens LLC,Pakistan,N/A,LinkedIn,Artificial Intelligence
"AI Engineer – LLM & Computer Vision (Onsite, Karachi, PKR Salary)",HR POD Careers,"Karāchi, Sindh, Pakistan",N/A,LinkedIn,Artificial Intelligence
Software Engineer - AI/ML,Devsinc,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence
Sales Development Representative (SDR),RepairDesk,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence
Software AI Engineer,Devsinc,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence
AI Engineer,Veyn AI,"Islamabad, Islāmābād, Pakistan",N/A,LinkedIn,Artificial Intelligence
Lead Generation & Data Executive,Burq,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence
AI ML Engineer,Flatgigs,Pakistan,N/A,LinkedIn,Artificial Intelligence
Senior AI/ML Engineer,Devsinc,"Islamabad, Islāmābād, Pakistan",N/A,LinkedIn,Artificial Intelligence
AI/ML Engineer,TEKHQS,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence
AI ML Engineer,Flatgigs,Pakistan,N/A,LinkedIn,Artificial Intelligence
Machine Learning Engineer / Data Scientist,Fusemachines,"Islamabad, Islāmābād, Pakistan",N/A,LinkedIn,Artificial Intelligence
Senior AI/ML Engineer,Devsinc,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence
Computer Vision Engineer (PyTorch/TensorRT),Flatgigs,Pakistan,N/A,LinkedIn,Artificial Intelligence
Senior Software Engineer (AI/ML),Devsinc,"Islamabad, Islāmābād, Pakistan",N/A,LinkedIn,Artificial Intelligence
AI & Automation Training Lead,TriVA Global,"Gojra, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence
Senior AI/Machine Learning Engineer,Devsinc,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence
AI/ML Engineer,Hazen Technologies Inc,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence
Senior Software Engineer (AI/ML),Devsinc,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence
Data Science & Engineering Lead,Soum,Pakistan,N/A,LinkedIn,Artificial Intelligence
Data Scientist,Creative Chaos,Pakistan,N/A,LinkedIn,Artificial Intelligence
Senior AI/ML Engineer - AI Systems & Applied Intelligence,Devsinc,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence
Applied AI Engineer (Automation),Fusemachines,"Islamabad, Islāmābād, Pakistan",N/A,LinkedIn,Artificial Intelligence
"Data Scientist, Tech",ibex,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence
Cloud Native/ SSE Python,Devsinc,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence
Senior Data Scientist,Astro Sirens LLC,Pakistan,N/A,LinkedIn,Artificial Intelligence
AI-Assisted Software Developer,"LDP Logistics, Inc.","Karāchi, Sindh, Pakistan",N/A,LinkedIn,Artificial Intelligence
Artificial Intelligence &amp; Machine Learning Engineer &#8211; AI-ML,Activekey Solutions,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence
Junior Product Manager,Convo,"Islamabad, Islāmābād, Pakistan",N/A,LinkedIn,Artificial Intelligence
AI Talent Community - Future Roles,CodeNinja Inc.,Pakistan,N/A,LinkedIn,Artificial Intelligence
Media Quality Evaluator (AI Training Data),Gramian Consulting,Pakistan,N/A,LinkedIn,Artificial Intelligence
AI Engineer,Confiz,"Karachi Division, Sindh, Pakistan",N/A,LinkedIn,Artificial Intelligence
AI Training Specialist (Global Egocentric Video),Toloka Annotators,Pakistan,N/A,LinkedIn,Artificial Intelligence
Backend AI & Data Pipeline Engineer,Seeka Limited,"Islamabad, Islāmābād, Pakistan",N/A,LinkedIn,Artificial Intelligence
Front-end Developer,Cinari.ai,"Islamabad, Islāmābād, Pakistan",N/A,LinkedIn,Artificial Intelligence
Senior Software Engineer - Artificial Intelligence,Devsinc,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence
AM Digital Transformation,Unilever,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence
Quality Associate,NielsenIQ,"Karāchi, Sindh, Pakistan",N/A,LinkedIn,Artificial Intelligence
Senior AI Agent Engineer,Beam AI,"Karāchi, Sindh, Pakistan",N/A,LinkedIn,Artificial Intelligence
AI Research Engineer - Pre training (100% Remote),Tether.io,Pakistan,N/A,LinkedIn,Artificial Intelligence
Mid-Level AI Engineer,The Plumtree Group Global,Pakistan,N/A,LinkedIn,Artificial Intelligence
Senior AI Engineer,Convo,"Islamabad, Islāmābād, Pakistan",N/A,LinkedIn,Artificial Intelligence
AI Engineering Lead,Datamatics Technologies,"Islamabad, Islāmābād, Pakistan",N/A,LinkedIn,Artificial Intelligence
Expression of Interest - Future Opportunities at Thingtrax (Talent Pool),Thingtrax,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence
"AI Engineering Intern (Gen AI, Agents & Formal Verification) - Paid",SkyLabs AI,"Islamabad, Islāmābād, Pakistan",N/A,LinkedIn,Artificial Intelligence
Senior Cloud Native Application Developer,Devsinc,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence
Senior ML Engineer,Arbisoft,"Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence
"• AI Engineer (n8n, Go High Level, Vapi)",Fynora AI,Pakistan,N/A,LinkedIn,Artificial Intelligence
AI Software Engineer (Agent Orchestrator),Novo AI,Pakistan,N/A,LinkedIn,Artificial Intelligence
Product Analyst - Hospitality Systems & Data Integrations,Devsinc,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence
Computer Vision Engineer,Motive,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence
"Platform Engineer (Remote, Anywhere in Pakistan, USD Salary)",HR POD Careers,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence
AI/NLP Engineer,vFairs,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence
Software Architect - ML/AI/Gen AI,10Pearls,"Islamabad, Islāmābād, Pakistan",N/A,LinkedIn,Artificial Intelligence
Sr. AI Engineer,The Plumtree Group Global,Pakistan,N/A,LinkedIn,Artificial Intelligence
AI/ML Platform Engineer,Talentive HR,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence
Data Scientist,JiBe ERP,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence
Electrical Engineering Lead - AI Training Project,Gramian Consulting,Pakistan,N/A,LinkedIn,Artificial Intelligence
First-Person Video AI Trainer (Worldwide),Toloka Annotators,Pakistan,N/A,LinkedIn,Artificial Intelligence
Machine Learning Engineer,Soliton Technologies,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence
Senior Data Scientist,Astro Sirens LLC,Pakistan,N/A,LinkedIn,Artificial Intelligence
AI-Assisted Software Developer,"LDP Logistics, Inc.","Karāchi, Sindh, Pakistan",N/A,LinkedIn,Artificial Intelligence
Artificial Intelligence &amp; Machine Learning Engineer &#8211; AI-ML,Activekey Solutions,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Artificial Intelligence
Junior Product Manager,Convo,"Islamabad, Islāmābād, Pakistan",N/A,LinkedIn,Artificial Intelligence
AI Talent Community - Future Roles,CodeNinja Inc.,Pakistan,N/A,LinkedIn,Artificial Intelligence
Media Quality Evaluator (AI Training Data),Gramian Consulting,Pakistan,N/A,LinkedIn,Artificial Intelligence
AI Engineer,Confiz,"Karachi Division, Sindh, Pakistan",N/A,LinkedIn,Artificial Intelligence
AI Training Specialist (Global Egocentric Video),Toloka Annotators,Pakistan,N/A,LinkedIn,Artificial Intelligence
Backend AI & Data Pipeline Engineer,Seeka Limited,"Islamabad, Islāmābād, Pakistan",N/A,LinkedIn,Artificial Intelligence
Front-end Developer,Cinari.ai,"Islamabad, Islāmābād, Pakistan",N/A,LinkedIn,Artificial Intelligence
Product Photographer & Catalog Designer,"Beauty Concept, Sialkot, Pakistan","Beauty Concept,",N/A,Rozee,Graphic Designer
Graphic Designer,"EWDTech, Faisalabad, Pakistan","EWDTech,",N/A,Rozee,Graphic Designer
Graphic Designer,"Marble Graphics, Karachi, Pakistan","Marble Graphics,",N/A,Rozee,Graphic Designer
Graphic Designer,"DRG Empire, Multan, Pakistan","DRG Empire,",N/A,Rozee,Graphic Designer
Graphic Design,"Wajahat Designer, Karachi, Pakistan","Wajahat Designer,",N/A,Rozee,Graphic Designer
Senior Graphic Designer,"Biocos Internartional, Lahore, Pakistan","Biocos Internartional,",N/A,Rozee,Graphic Designer
Graphic Designer,"Sial Apparel Mfg, Sialkot, Pakistan","Sial Apparel Mfg,",N/A,Rozee,Graphic Designer
Senior Graphic Designer,"Naseeb Enterprise Inc, All Cities, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Graphic Designer
Graphic Designer,"Computer House, Lahore, Pakistan","Computer House,",N/A,Rozee,Graphic Designer
Senior Graphic Designer,"Naseeb Enterprise Inc, All Cities, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Graphic Designer
Graphic Designer,"Fikrah Systems, Karachi, Pakistan","Fikrah Systems,",N/A,Rozee,Graphic Designer
Graphic Designer,"Naseeb Enterprise Inc, Lahore, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Graphic Designer
AI Graphic Designer,"Naseeb Enterprise Inc, All Cities, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Graphic Designer
Logo Designer,"Wajahat Designer, Karachi, Pakistan","Wajahat Designer,",N/A,Rozee,Graphic Designer
Video Graphic Designer,"Dorange, Karachi, Pakistan","Dorange,",N/A,Rozee,Graphic Designer
Lead Graphic Designer,"The BKRY, Islamabad, Pakistan","The BKRY,",N/A,Rozee,Graphic Designer
Graphic Designer,"Quick Fly Travels, Lahore, Pakistan","Quick Fly Travels,",N/A,Rozee,Graphic Designer
Graphic Designer,"Admonestrate, Peshawar, Pakistan","Admonestrate,",N/A,Rozee,Graphic Designer
Senior Graphic Designer,"AFCO, All Cities, Pakistan","AFCO,",N/A,Rozee,Graphic Designer
Graphic Motion Designer Remote,"Naseeb Enterprise Inc, Islamabad, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Graphic Designer
Graphic Designer - Karachi,Steps Ahead Pakistan,"Karāchi, Sindh, Pakistan",N/A,LinkedIn,Graphic Designer
Graphic Designer,Destination Pakistan,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Graphic Designer
Graphic Design - Trainee,Dubizzle Labs,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Graphic Designer
Graphics Expert,NielsenIQ,"Karāchi, Sindh, Pakistan",N/A,LinkedIn,Graphic Designer
Branding Specialist,Descon,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Graphic Designer
Graphic Designer- Proof,Imprint Now,Pakistan,N/A,LinkedIn,Graphic Designer
Graphic Designer PAK,Milliman,"Karāchi, Sindh, Pakistan",N/A,LinkedIn,Graphic Designer
Graphic Designer - The Social Byte,Taraki,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Graphic Designer
Remaker – Graphic Designer & Proofing & Print Specialist,Imprint Now,Pakistan,N/A,LinkedIn,Graphic Designer
Graphic Designer,Gorilla Commerce,Pakistan,N/A,LinkedIn,Graphic Designer
Graphic Designer Job in Karachi | Webnet Pakistan,Webnet Pakistan Pvt Ltd,"Karāchi, Sindh, Pakistan",N/A,LinkedIn,Graphic Designer
Brand Designer,ibex. Pakistan,"Karāchi, Sindh, Pakistan",N/A,LinkedIn,Graphic Designer
Graphic Designer,Digital Minds Pakistan,"Karachi Division, Sindh, Pakistan",N/A,LinkedIn,Graphic Designer
Graphics & Rendering Specialist,Learntastic,Pakistan,N/A,LinkedIn,Graphic Designer
